City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country
Severo-Kurilsk,50.68,156.12,26.78,91,84,9.22,broken clouds,RU
Fukue,32.69,128.84,51.8,57,20,19.46,few clouds,JP
Hambantota,6.12,81.12,87.8,70,40,9.17,light rain,LK
San Andres,12.58,-81.7,80.6,78,40,14.99,drizzle,CO
Tuatapere,-46.13,167.68,54.0,74,56,17.0,broken clouds,NZ
Ordzhonikidze,52.44,61.74,4.17,94,100,7.36,overcast clouds,KZ
Oromocto,45.84,-66.48,37.4,93,90,4.7,overcast clouds,CA
Alakurtti,66.97,30.35,28.0,94,100,4.0,light snow,RU
Batagay-Alyta,67.8,130.41,-14.06,88,94,1.5,overcast clouds,RU
South Daytona,29.17,-81.0,66.0,93,40,4.7,scattered clouds,US
Tomatlan,19.93,-105.25,68.77,92,69,2.91,broken clouds,MX
Peace River,56.25,-117.29,41.0,81,90,11.41,overcast clouds,CA
Chacabuco,-34.64,-60.47,48.0,79,0,1.01,clear sky,AR
Audru,58.41,24.37,42.01,82,100,15.01,overcast clouds,EE
Smithers,54.78,-127.17,39.2,93,90,4.7,light rain,CA
Jieshi,22.81,115.83,69.01,54,0,1.99,clear sky,CN
Alofi,-19.06,-169.92,78.8,94,100,6.93,light rain,NU
Zaterechnyy,44.79,45.21,35.92,79,79,19.62,broken clouds,RU
Jaque,7.52,-78.17,77.45,82,94,3.31,light rain,PA
Sao Miguel Do Araguaia,-13.28,-50.16,73.26,81,66,1.81,light rain,BR
Nikki,9.94,3.21,73.09,29,50,2.59,scattered clouds,BJ
Yarmouth,41.71,-70.23,50.0,81,75,5.82,moderate rain,US
Ngunguru,-35.62,174.5,64.0,68,10,8.01,clear sky,NZ
Lianran,24.92,102.48,64.0,71,40,17.9,scattered clouds,CN
Krasnoselkup,65.7,82.47,11.59,95,100,17.49,overcast clouds,RU
Hofn,64.25,-15.21,22.23,88,66,18.16,broken clouds,IS
Port-Gentil,-0.72,8.78,78.8,88,75,12.75,broken clouds,GA
Adrar,20.5,-10.07,63.45,37,22,8.88,few clouds,MR
Filingue,14.35,3.32,79.12,17,83,5.12,broken clouds,NE
Olden,61.84,6.81,35.01,86,0,8.05,clear sky,NO
Saint Anthony,45.02,-93.22,28.0,85,1,1.81,clear sky,US
Acarau,-2.89,-40.12,78.91,79,92,15.03,overcast clouds,BR
Lagos,6.58,3.75,78.67,88,7,2.48,clear sky,NG
The Pas,53.83,-101.25,32.0,97,90,11.41,overcast clouds,CA
Faanui,-16.48,-151.75,80.92,78,100,19.6,light rain,PF
Butembo,0.15,29.28,64.54,96,51,1.95,light rain,CD
Jakar,27.55,90.75,43.93,68,94,5.21,overcast clouds,BT
Dedza,-14.38,34.33,71.47,68,5,8.55,clear sky,MW
Berasia,23.63,77.43,86.0,27,0,2.24,clear sky,IN
Camacha,33.08,-16.33,57.2,76,75,19.46,light rain,PT
Batticaloa,7.71,81.69,83.52,74,86,3.44,light rain,LK
Khurai,24.04,78.33,83.68,18,0,3.4,clear sky,IN
Kismayo,-0.36,42.55,83.91,63,4,8.57,clear sky,SO
Namatanai,-3.67,152.43,83.23,72,87,7.16,overcast clouds,PG
Vardo,70.37,31.11,32.29,95,94,24.07,overcast clouds,NO
Christchurch,-43.53,172.63,57.0,71,83,5.82,broken clouds,NZ
Costa Rica,-23.42,-54.65,68.97,98,100,2.51,light rain,BR
Beja,36.73,9.18,62.6,39,40,16.11,scattered clouds,TN
Shubarkuduk,49.14,56.49,13.68,94,13,9.75,few clouds,KZ
Santa Maria Da Vitoria,-13.39,-44.19,70.54,91,97,0.81,light rain,BR
Atasu,48.68,71.64,-0.56,92,80,3.11,broken clouds,KZ
Asyut,27.18,31.18,57.2,50,0,11.41,clear sky,EG
Ribeira Grande,38.52,-28.7,61.43,77,86,14.43,overcast clouds,PT
Awbari,26.59,12.78,64.29,29,0,11.43,clear sky,LY
Sinnamary,5.38,-52.95,77.16,86,2,5.08,clear sky,GF
Tigil,57.8,158.67,8.47,90,4,6.46,clear sky,RU
Victoria,22.29,114.16,69.01,56,4,5.01,clear sky,HK
Birjand,32.87,59.22,50.0,38,0,6.04,clear sky,IR
Soyo,-6.13,12.37,78.8,94,75,2.24,moderate rain,AO
Paamiut,61.99,-49.67,32.72,96,100,27.63,snow,GL
Talnakh,69.49,88.4,24.8,100,90,24.61,snow,RU
Polunochnoye,60.87,60.42,16.18,86,0,4.12,clear sky,RU
Swansea,51.62,-3.94,43.0,86,100,26.4,overcast clouds,GB
Parabel,58.7,81.48,8.46,94,99,8.88,overcast clouds,RU
Hirara,24.8,125.28,68.0,94,75,20.8,broken clouds,JP
Baza,37.49,-2.77,34.0,82,81,15.19,broken clouds,ES
Amapa,1.0,-52.0,71.06,98,97,2.26,overcast clouds,BR
Ormara,25.21,64.64,80.22,37,0,2.35,clear sky,PK
Longyearbyen,78.22,15.64,10.4,55,75,17.22,broken clouds,SJ
Abnub,27.27,31.15,57.2,50,0,11.41,clear sky,EG
Sahuaripa,29.05,-109.23,42.04,66,0,3.85,clear sky,MX
Shakawe,-18.37,21.85,77.07,68,100,7.05,overcast clouds,BW
Esperance,-33.87,121.9,64.4,52,75,20.8,broken clouds,AU
Salinas,36.68,-121.66,48.2,65,1,3.85,clear sky,US
Brackenheim,49.08,9.06,34.0,86,100,2.71,overcast clouds,DE
Mkushi,-13.62,29.39,72.5,74,99,3.06,light rain,ZM
Nanortalik,60.14,-45.24,35.13,84,100,5.77,overcast clouds,GL
Paka,4.64,103.44,86.0,70,40,9.17,scattered clouds,MY
Dukat,62.55,155.55,-7.4,90,83,3.74,broken clouds,RU
Tonantins,-2.87,-67.8,73.47,98,100,1.54,overcast clouds,BR
Udachnyy,66.42,112.4,-1.19,90,100,14.58,overcast clouds,RU
Miranda,3.25,-76.23,72.0,94,75,4.7,light rain,CO
Balykshi,47.07,51.87,8.6,71,0,6.71,clear sky,KZ
Manokwari,-0.87,134.08,84.69,70,84,6.02,broken clouds,ID
Buala,-8.14,159.59,82.76,73,71,3.18,broken clouds,SB
Hovd,48.01,91.64,11.21,66,0,1.39,clear sky,MN
Kasongo-Lunda,-6.47,16.82,75.34,85,69,1.25,light rain,CD
Flin Flon,54.77,-101.86,25.23,98,2,6.67,clear sky,CA
Ulaangom,49.98,92.07,8.11,88,74,2.08,broken clouds,MN
Savino,56.59,41.22,20.59,88,0,7.31,clear sky,RU
Anse-Bertrand,16.47,-61.51,69.8,100,75,1.12,broken clouds,GP
Galle,6.04,80.22,83.28,74,84,13.02,light rain,LK
Shingu,33.73,135.98,59.0,44,20,12.75,few clouds,JP
Tocopilla,-22.09,-70.2,62.67,65,1,4.27,clear sky,CL
Bahile,10.0,118.79,89.6,70,40,9.17,scattered clouds,PH
Imbituba,-28.24,-48.67,71.6,73,75,8.05,broken clouds,BR
Palmer,42.16,-72.33,44.6,87,90,5.82,overcast clouds,US
Fort Nelson,58.81,-122.7,26.6,92,75,4.7,broken clouds,CA
Ponta Delgada,37.73,-25.67,57.2,67,20,10.29,few clouds,PT
Dispur,26.14,91.79,77.0,73,40,3.36,mist,IN
Sao Filipe,14.9,-24.5,75.13,79,96,9.15,overcast clouds,CV
Peruibe,-24.32,-47.0,72.39,89,98,4.92,overcast clouds,BR
Calbuco,-41.77,-73.13,46.4,93,0,5.82,clear sky,CL
Mantua,45.17,10.78,48.2,100,75,4.7,moderate rain,IT
Yantal,56.85,105.25,4.55,91,100,6.33,overcast clouds,RU
Muyezerskiy,63.93,31.65,32.43,97,100,13.09,snow,RU
Jalu,29.03,21.55,59.97,55,0,9.82,clear sky,LY
Richards Bay,-28.78,32.04,75.54,59,100,1.77,overcast clouds,ZA
Inhambupe,-11.78,-38.35,73.29,89,89,6.96,overcast clouds,BR
Zaysan,47.47,84.87,16.43,95,95,1.95,overcast clouds,KZ
Alcaniz,41.05,-0.13,41.0,77,0,5.99,clear sky,ES
Mahur,25.17,93.12,74.17,40,0,4.34,clear sky,IN
Zaraza,9.35,-65.32,71.51,96,1,2.53,clear sky,VE
Shieli,44.17,66.75,9.81,85,14,3.27,few clouds,KZ
Braganca,-1.05,-46.77,77.14,87,100,1.9,overcast clouds,BR
Novoagansk,61.94,76.66,11.17,95,100,12.97,overcast clouds,RU
Constitucion,-35.33,-72.42,53.24,78,0,3.96,clear sky,CL
Tura,25.52,90.22,73.36,61,1,2.71,clear sky,IN
Mumbwa,-14.98,27.06,65.61,94,100,6.44,light rain,ZM
Isangel,-19.55,169.27,82.4,78,75,9.44,broken clouds,VU
Kagoro,9.6,8.38,72.97,27,2,2.86,clear sky,NG
Livingstone,-17.84,25.85,73.58,74,99,8.12,light rain,ZM
Akyab,20.15,92.9,80.17,47,0,7.2,clear sky,MM
Qaqortoq,60.72,-46.03,42.8,30,100,13.87,light snow,GL
Hobyo,5.35,48.53,82.09,68,4,11.83,clear sky,SO
Bac Lieu,9.29,105.72,81.66,65,94,4.43,overcast clouds,VN
Kuching,1.55,110.33,78.8,94,40,5.82,light rain,MY
Krasnyy Chikoy,50.36,108.75,10.89,88,92,2.75,overcast clouds,RU
Clyde River,70.47,-68.59,-7.6,83,1,3.36,clear sky,CA
Magadi,12.97,77.23,80.01,78,75,3.36,broken clouds,IN
Hammerfest,70.66,23.68,30.2,80,100,10.29,overcast clouds,NO
Puerto Baquerizo Moreno,-0.9,-89.6,70.9,84,78,8.5,broken clouds,EC
Yellandu,17.6,80.33,83.17,45,9,5.39,clear sky,IN
Atar,20.52,-13.05,66.94,39,85,9.04,overcast clouds,MR
Poronaysk,49.22,143.12,22.19,89,100,9.31,overcast clouds,RU
Irricana,51.32,-113.6,42.01,45,51,7.65,broken clouds,CA
Orlovskiy,46.87,42.06,26.35,81,11,18.34,few clouds,RU
Waddan,29.16,16.14,61.34,62,14,13.09,light rain,LY
Bongued,7.12,124.4,90.39,57,20,5.17,few clouds,PH
Wajid,3.81,43.25,87.12,39,89,10.25,overcast clouds,SO
Nizwa,22.93,57.53,87.85,19,0,4.54,clear sky,OM
Kalyazin,57.24,37.84,23.09,96,56,11.41,broken clouds,RU
Ban Nahin,18.24,104.21,80.22,35,0,3.18,clear sky,LA
Ozernovskiy,51.5,156.52,29.37,89,100,10.47,light snow,RU
Hohoe,7.15,0.47,75.52,85,96,2.13,overcast clouds,GH
Raudeberg,61.99,5.14,37.99,74,100,8.05,overcast clouds,NO
Miri,4.41,114.01,87.8,70,40,11.41,scattered clouds,MY
Svetlogorsk,52.63,29.73,29.43,97,100,12.5,overcast clouds,BY
Rocky Mountain House,52.37,-114.92,23.0,79,1,2.24,clear sky,CA
Suozhen,36.95,118.1,48.99,37,0,1.01,clear sky,CN
Lander,42.83,-108.73,30.2,79,1,4.7,clear sky,US
Queanbeyan,-35.35,149.23,68.0,85,100,3.0,light rain,AU
Jining,35.41,116.58,46.26,50,0,5.73,clear sky,CN
Powell,40.16,-83.08,39.99,80,90,6.93,overcast clouds,US
Ulladulla,-35.35,150.47,77.0,61,100,10.29,moderate rain,AU
Yumen,40.28,97.2,24.8,88,0,8.23,clear sky,CN
Yichang,30.71,111.28,46.0,61,22,1.99,few clouds,CN
Dayong,25.02,118.29,71.6,46,0,13.42,clear sky,CN
Pucallpa,-8.38,-74.55,72.77,97,100,1.1,overcast clouds,PE
Fare,-16.7,-151.02,81.61,77,100,20.65,light rain,PF
Dubovyy Umet,52.98,50.29,-2.2,84,75,4.97,broken clouds,RU
Anjiang,27.32,110.1,48.47,65,99,2.08,overcast clouds,CN
Aguimes,27.91,-15.45,62.6,77,75,8.05,light intensity drizzle,ES
Gorontalo,0.54,123.06,86.07,73,100,3.13,overcast clouds,ID
Abu Dhabi,24.47,54.37,75.2,83,20,5.82,few clouds,AE
Yurga,55.72,84.89,-0.72,92,0,1.5,clear sky,RU
Port-De-Bouc,43.4,4.98,39.2,93,0,6.93,clear sky,FR
Quatre Cocos,-20.21,57.76,84.2,62,40,12.75,scattered clouds,MU
Odweyne,9.41,45.06,77.04,52,0,7.05,clear sky,SO
Mitsamiouli,-11.38,43.28,83.64,65,0,3.51,clear sky,KM
Zeya,53.75,127.27,8.6,90,81,2.3,broken clouds,RU
Shenjiamen,29.96,122.3,54.19,66,52,15.52,broken clouds,CN
Santiago Del Estero,-27.8,-64.26,60.01,73,97,1.99,overcast clouds,AR
Salalah,17.02,54.09,84.2,42,0,4.7,clear sky,OM
Novorudnyy,51.5,58.19,17.6,85,90,6.71,light snow,RU
Adilcevaz,38.8,42.73,37.4,69,40,3.36,scattered clouds,TR
Comodoro Rivadavia,-45.87,-67.5,57.2,47,0,8.05,clear sky,AR
Henties Bay,-22.12,14.28,61.0,81,69,7.94,broken clouds,NA
Suna,57.83,50.06,7.52,91,0,6.26,clear sky,RU
Houma,29.6,-90.72,45.0,93,1,5.82,clear sky,US
Mumford,5.26,-0.76,77.58,87,50,5.7,scattered clouds,GH
Sao Gabriel Da Cachoeira,-0.13,-67.09,73.08,98,85,0.34,overcast clouds,BR
Erzin,36.96,36.2,57.0,55,85,10.0,overcast clouds,TR
Zalalovo,46.85,16.59,35.6,100,79,8.05,mist,HU
Sovetskaya Gavan,48.97,140.29,21.58,83,74,10.18,broken clouds,RU
Honiara,-9.43,159.95,86.0,70,75,2.24,light rain,SB
San Juan,-31.54,-68.54,65.17,56,0,9.48,clear sky,AR
Solwezi,-12.17,26.39,67.46,92,100,4.5,light rain,ZM
Lipari,38.47,14.95,63.0,62,0,4.0,clear sky,IT
Lorengau,-2.02,147.27,85.32,69,30,7.87,scattered clouds,PG
Kirensk,57.79,108.11,-0.24,90,37,3.53,scattered clouds,RU
Nikolayevka,53.13,47.2,12.76,89,6,2.01,clear sky,RU
Pianco,-7.2,-37.93,76.64,67,3,7.29,clear sky,BR
Rosa Zarate,0.33,-79.47,74.01,90,100,1.86,light rain,EC
Springfield,37.22,-93.3,39.2,69,1,6.93,clear sky,US
Sol-Iletsk,51.16,54.99,10.69,93,40,8.86,scattered clouds,RU
Colombo,6.93,79.85,84.2,74,75,4.7,moderate rain,LK
Kharp,66.8,65.81,12.18,92,80,11.43,broken clouds,RU
Bandarbeyla,9.49,50.81,77.94,72,93,11.81,overcast clouds,SO
Pacific Grove,36.62,-121.92,48.2,45,1,5.82,clear sky,US
Madimba,-10.4,40.33,82.4,74,40,14.99,scattered clouds,TZ
Acapulco,16.86,-99.89,76.1,81,0,4.12,clear sky,MX
Mezhdurechensk,53.69,88.06,14.63,90,0,1.28,clear sky,RU
Katobu,-4.94,122.53,80.91,84,100,6.46,overcast clouds,ID
Upata,8.01,-62.4,75.0,97,40,1.01,scattered clouds,VE
Conceicao Da Barra,-18.59,-39.73,75.07,89,99,6.38,overcast clouds,BR
Kuah,6.33,99.84,87.8,66,20,8.05,few clouds,MY
Cleveland,41.5,-81.7,41.0,74,90,8.05,overcast clouds,US
Cuiluan,47.72,128.65,13.95,90,2,5.91,clear sky,CN
Karwar,14.8,74.13,86.74,50,1,5.06,clear sky,IN
Keita,14.76,5.77,68.0,37,0,2.24,clear sky,NE
Izvestkovyy,48.98,131.55,13.14,93,6,5.7,clear sky,RU
Kalabo,-14.97,22.68,71.87,82,100,8.16,overcast clouds,ZM
Tete,-16.16,33.59,80.6,74,75,5.82,broken clouds,MZ
Fuxin,42.02,121.66,28.51,74,0,0.89,clear sky,CN
Tilichiki,60.47,166.1,14.68,98,100,3.78,overcast clouds,RU
Rio Gallegos,-51.62,-69.22,53.6,62,0,11.41,clear sky,AR
San Carlos De Bariloche,-41.15,-71.31,54.0,46,0,9.17,clear sky,AR
Verkhoyansk,67.54,133.38,-29.2,82,76,1.52,broken clouds,RU
Port Hedland,-20.32,118.57,100.4,42,73,20.8,broken clouds,AU
Baykit,61.67,96.37,3.49,90,100,5.77,overcast clouds,RU
Voh,-20.97,164.7,78.91,66,1,7.29,clear sky,NC
Hamilton,39.18,-84.53,37.99,85,40,5.82,scattered clouds,US
Rocha,-34.48,-54.33,53.65,59,81,7.92,broken clouds,UY
Manadhoo,5.77,73.38,82.45,76,100,15.84,overcast clouds,MV
Ambulu,-8.35,113.61,85.8,66,99,6.67,overcast clouds,ID
Mulbagal,13.17,78.4,73.56,83,97,13.78,overcast clouds,IN
Partizanskoye,55.5,94.39,7.79,92,0,4.03,clear sky,RU
Dongfeng,42.64,125.51,25.59,84,0,6.78,clear sky,CN
Tymovskoye,50.85,142.66,15.49,96,98,3.76,light snow,RU
Germenchuk,43.19,45.92,39.2,100,90,11.18,light rain,RU
Leua,48.22,18.61,43.0,90,100,8.01,overcast clouds,SK
Necochea,-38.55,-58.74,44.56,75,0,1.14,clear sky,AR
Kangaatsiaq,68.31,-53.46,30.43,96,100,10.42,light snow,GL
La Ronge,55.1,-105.28,32.0,97,100,5.82,overcast clouds,CA
Ritchie,-29.04,24.6,75.2,50,0,13.87,clear sky,ZA
Aquiraz,-3.9,-38.39,80.6,78,40,13.87,scattered clouds,BR
Kotdwara,29.75,78.53,77.77,27,0,5.37,clear sky,IN
Victor Harbor,-35.57,138.62,64.99,55,22,4.0,few clouds,AU
Korsakov,46.63,142.78,33.8,59,75,8.95,broken clouds,RU
Gondanglegi,-7.75,112.01,85.14,72,100,6.29,overcast clouds,ID
Shahreza,32.03,51.88,46.8,60,25,4.29,scattered clouds,IR
Kamaishi,39.27,141.88,42.8,62,75,5.82,broken clouds,JP
Belyy Yar,53.6,91.39,5.0,84,20,1.88,mist,RU
Tual,-5.67,132.75,85.64,65,0,1.97,clear sky,ID
Matagami,49.75,-77.63,19.4,92,90,4.7,light snow,CA
Havre-Saint-Pierre,50.23,-63.6,32.0,94,90,5.79,overcast clouds,CA
Denpasar,-8.65,115.22,86.0,74,20,13.87,few clouds,ID
Jinchang,38.5,102.17,28.31,84,0,2.42,clear sky,CN
Alenquer,-1.94,-54.74,73.4,100,0,4.7,clear sky,BR
Bowen,-20.02,148.23,89.6,43,0,12.75,clear sky,AU
Caravelas,-17.71,-39.25,75.29,87,86,7.27,overcast clouds,BR
Plaridel,14.89,120.86,89.6,70,75,6.93,broken clouds,PH
Sechura,-5.56,-80.82,68.05,79,100,8.5,overcast clouds,PE
Severnyy-Kospashskiy,59.09,57.8,14.0,88,0,1.7,clear sky,RU
Udgir,18.38,77.12,80.69,26,44,7.99,scattered clouds,IN
Eureka,40.8,-124.16,41.0,93,1,4.18,clear sky,US
Oranjestad,12.52,-70.03,80.6,78,20,11.41,few clouds,AW
Puerto Carreno,6.19,-67.49,75.33,89,67,8.86,broken clouds,CO
Ocos,14.51,-92.19,64.99,96,100,4.29,overcast clouds,GT
Aleksandrovsk-Sakhalinskiy,50.9,142.16,20.71,92,100,12.19,light snow,RU
La Libertad,-2.23,-80.9,70.68,90,100,12.57,overcast clouds,EC
Puerto Del Rosario,28.5,-13.86,64.4,63,20,11.41,few clouds,ES
Waipawa,-41.41,175.52,59.0,77,61,16.11,broken clouds,NZ
Santa Rita,-7.11,-34.98,77.0,88,40,9.17,scattered clouds,BR
Humberto De Campos,-2.6,-43.46,77.72,85,83,5.61,broken clouds,BR
Colac,-38.33,143.58,64.99,92,64,8.99,light rain,AU
Santa Cecilia,-26.96,-50.43,56.3,100,100,5.14,light rain,BR
Concepcion,-36.83,-73.05,50.0,93,0,3.36,clear sky,CL
La Grande,45.32,-118.09,19.4,85,1,5.82,clear sky,US
Santa Cruz,-17.8,-63.17,73.4,88,75,13.87,shower rain,BO
San Quintin,30.48,-115.95,37.0,11,0,5.01,clear sky,MX
Kushima,31.46,131.23,60.8,51,20,5.82,few clouds,JP
Margate,51.38,1.39,43.0,85,89,8.01,overcast clouds,GB
Tahta,26.77,31.5,59.0,47,0,3.36,clear sky,EG
Bara,10.37,10.73,75.81,20,0,3.49,clear sky,NG
Yetkul,54.82,61.59,19.4,92,75,2.24,mist,RU
Maraa,-1.83,-65.37,72.95,98,99,1.81,overcast clouds,BR
Zatoka,46.07,30.47,39.0,100,90,11.18,overcast clouds,UA
Lavara,41.27,26.38,46.4,93,20,8.05,few clouds,GR
Nadym,65.53,72.52,9.27,93,0,13.82,clear sky,RU
Te Anau,-45.42,167.72,54.14,73,1,4.68,clear sky,NZ
Mayo,38.89,-76.51,48.99,100,90,6.93,heavy intensity rain,US
Skibbereen,51.55,-9.27,42.8,75,75,24.16,broken clouds,IE
Neiafu,-18.65,-173.98,80.6,78,75,9.17,broken clouds,TO
Aljezur,37.32,-8.8,44.01,88,98,1.99,overcast clouds,PT
Hatillo,18.49,-66.83,69.01,93,2,1.01,clear sky,PR
Changping,40.22,116.22,41.0,18,0,6.71,clear sky,CN
Inirida,3.87,-67.92,72.64,97,100,2.33,overcast clouds,CO
Komatipoort,-25.43,31.95,68.0,79,99,1.99,overcast clouds,ZA
Sosnogorsk,63.6,53.88,13.48,94,75,6.89,broken clouds,RU
Sorong,-0.88,131.25,85.19,72,0,9.22,clear sky,ID
Springbok,-29.66,17.89,77.0,27,0,3.36,clear sky,ZA
Korla,41.76,86.15,30.38,80,100,3.62,overcast clouds,CN
Sisimiut,66.94,-53.67,30.47,92,100,9.13,light snow,GL
Amahai,-3.33,128.92,85.26,72,20,4.99,few clouds,ID
Abadan,30.34,48.3,64.4,88,57,6.93,mist,IR
Topolobampo,25.6,-109.05,55.99,74,0,4.0,clear sky,MX
Yashkul,46.17,45.34,25.54,82,0,13.69,clear sky,RU
Tiznit,29.58,-9.5,53.19,86,80,25.3,light rain,MA
Craig,40.52,-107.55,15.8,78,1,0.34,clear sky,US
Jumla,29.27,82.18,54.88,35,2,6.42,clear sky,NP
Berdigestyakh,62.1,126.7,-5.51,90,100,8.12,overcast clouds,RU
Chachapoyas,-6.23,-77.87,53.83,90,100,1.86,moderate rain,PE
Shache,38.42,77.24,36.59,66,0,2.82,clear sky,CN
Batagay,67.63,134.63,-25.28,82,82,2.75,broken clouds,RU
Yarada,17.65,83.27,84.2,51,59,9.17,haze,IN
Port Keats,-14.25,129.55,81.84,78,100,5.39,overcast clouds,AU
Mus,39.0,41.75,30.2,100,40,2.24,mist,TR
Matamoros,25.53,-103.25,39.16,71,0,3.0,clear sky,MX
Ajdabiya,30.76,20.23,58.55,66,0,11.95,clear sky,LY
Watertown,42.37,-71.18,46.99,87,90,6.93,light rain,US
Superior,46.72,-92.1,27.0,92,75,0.47,broken clouds,US
Tongren,27.72,109.19,49.48,57,42,3.98,scattered clouds,CN
Ranau,5.95,116.66,89.6,75,20,9.17,light rain,MY
Kidal,18.44,1.41,69.64,24,14,4.05,few clouds,ML
Elliot Lake,46.38,-82.63,24.8,73,90,10.29,overcast clouds,CA
Staryy Nadym,65.61,72.68,9.1,93,0,12.55,clear sky,RU
Roma,43.21,-75.46,37.99,93,90,2.26,mist,US
Ocosingo,17.07,-92.25,58.78,97,100,1.92,overcast clouds,MX
Sorland,67.67,12.69,37.4,86,75,6.93,light rain,NO
Joshimath,30.57,79.57,52.61,40,50,6.06,scattered clouds,IN
Rondonopolis,-16.47,-54.64,73.87,87,97,0.51,light rain,BR
Omboue,-1.57,9.26,78.58,87,62,5.82,broken clouds,GA
Santa Maria,-29.68,-53.81,62.29,75,91,12.33,overcast clouds,BR
Challapata,-18.9,-66.77,47.55,72,100,7.0,light rain,BO
Sibolga,1.74,98.78,84.7,68,100,5.57,light rain,ID
Fairbanks,64.84,-147.72,-7.01,78,100,1.34,overcast clouds,US
Tchollire,8.4,14.17,78.49,22,3,0.54,clear sky,CM
Mount Isa,-20.73,139.5,107.6,14,40,8.05,scattered clouds,AU
Singleton,-32.57,151.18,79.0,54,100,10.0,overcast clouds,AU
Tairua,-37.02,175.85,60.01,74,52,11.99,broken clouds,NZ
Megion,61.03,76.11,15.8,92,90,6.71,light snow,RU
Port Hardy,50.7,-127.42,51.8,76,90,21.92,overcast clouds,CA
Porto Seguro,-16.45,-39.06,75.2,83,75,10.29,broken clouds,BR
Rantepao,-2.97,119.9,78.03,80,100,2.15,moderate rain,ID
Dwarka,22.24,68.97,80.96,52,0,5.68,clear sky,IN
Mogadishu,2.04,45.34,82.06,68,83,8.66,broken clouds,SO
Ballina,-28.87,153.57,82.99,61,1,18.34,clear sky,AU
Sterling,39.01,-77.43,45.0,93,90,6.93,heavy intensity rain,US
Prince George,53.92,-122.75,37.99,74,90,6.93,overcast clouds,CA
Ola,59.58,151.28,16.32,95,100,6.51,light snow,RU
Zvoristea,47.83,26.28,45.0,100,90,16.11,mist,RO
Sainte-Anne-Des-Monts,49.12,-66.49,35.6,80,100,5.82,overcast clouds,CA
Kazachinskoye,57.7,93.28,1.98,91,86,5.21,overcast clouds,RU
